edge_id,from_label,to_label,edge_type,condition,branch_option,router_outcome,source_file,line_number,confidence
edge_0001,day100_main,day100_1_afternoon_boredom,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,72,high
edge_0002,day100_1_afternoon_boredom,day100_2_evening_flashback,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,166,high
edge_0003,day100_2_evening_flashback,day100_2_parlour_branch,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,209,high
edge_0004,day100_2_evening_flashback,day100_2_desk_branch,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,216,high
edge_0005,day100_2_parlour_branch,day100_2_reconvergence,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,238,high
edge_0006,day100_2_desk_branch,day100_2_reconvergence,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,255,high
edge_0007,day100_2_reconvergence,day100_3_night_daydream,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,277,high
edge_0008,day100_3_night_daydream,day100_3_arrival,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,334,high
edge_0009,day100_3_arrival,day101_main,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day100_non_canon.rpy,372,high
edge_0010,day101_main,day101_1_cora_waiting,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,58,high
edge_0011,day101_1_cora_waiting,day101_1_morning_interview,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,101,high
edge_0012,day101_1_morning_interview,day101_1_vance_throws_toy,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,222,high
edge_0013,day101_1_vance_throws_toy,day101_2_missy_meets_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,350,high
edge_0014,day101_2_missy_meets_cora,day101_2_coras_path_choice,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,420,high
edge_0015,day101_2_coras_path_choice,day101_3_taking_stock_day1,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,557,high
edge_0016,day101_3_taking_stock_day1,day101_night_story_window,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,608,high
edge_0017,day101_night_story_window,day101_4_write_the_chapter,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,625,high
edge_0018,day101_night_story_window,day102_1_cora_missy_first_shift,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,690,high
edge_0019,day101_night_story_window,day102_1_cora_missy_first_shift,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,693,high
edge_0020,day101_evening_consequence_window,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,699,high
edge_0021,day101_evening_consequence_window,day102_1_cora_missy_first_shift,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,709,high
edge_0022,day101_4_write_the_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,795,medium
edge_0023,day101_4_write_the_chapter,book1_write_chapter,call,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,800,medium
edge_0024,day101_4_write_the_chapter,day102_1_cora_missy_first_shift,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day101_non_canon.rpy,812,high
edge_0025,day102_1_cora_missy_first_shift,day102_1_missy_finds_a_thing,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,87,high
edge_0026,day102_1_missy_finds_a_thing,day102_1_cora_takes_the_thing,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,139,high
edge_0027,day102_1_missy_finds_a_thing,day102_1_cora_deceives_missy,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,143,high
edge_0028,day102_1_cora_takes_the_thing,day102_2_day2_chore_time,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,201,high
edge_0029,day102_1_cora_deceives_missy,day102_2_day2_chore_time,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,257,high
edge_0030,day102_2_day2_chore_time,day102_2_day2_insp_choice,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,314,high
edge_0031,day102_2_day2_chore_time,day102_2_day2_corr_choice,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,319,high
edge_0032,day102_2_day2_insp_choice,day102_afternoon_story_window,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,358,high
edge_0033,day102_2_day2_corr_choice,day102_afternoon_story_window,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,399,high
edge_0034,day102_2_optional_character_chain,day102_afternoon_story_window,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,406,high
edge_0035,day102_afternoon_story_window,day102_3_stern_fetches_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,472,high
edge_0036,day102_afternoon_story_window,day102_3_stern_fetches_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,475,high
edge_0037,day102_afternoon_consequence_window,check_confrontations,penance,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,481,high
edge_0038,day102_afternoon_consequence_window,day102_3_stern_fetches_cora,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,491,high
edge_0039,day102_3_stern_fetches_cora,day102_3_vance_goes_incandescent,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,534,high
edge_0040,day102_3_vance_goes_incandescent,day102_3_coras_choice,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,590,high
edge_0041,day102_3_coras_choice,day102_3_cora_confesses,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,604,high
edge_0042,day102_3_coras_choice,day102_3_cora_pretends_to_find_it,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,609,high
edge_0043,day102_3_coras_choice,day102_3_cora_frames_missy,jump,,,,narrative/draft/releases/release-1-mvp/non_prod_renpy_project/game/days/day102_non_canon.rpy,614,high
